"dwc.preparations","freq"
"EtOH - 39|C&S - 4",4
"EtOH - 39|C&S - 5",4
"EtOH - 390",4
"EtOH - 392",4
"EtOH - 393",4
"EtOH - 404",4
"EtOH - 41|C&S - 3",4
"EtOH - 411",4
"EtOH - 413",4
"EtOH - 415",4
"EtOH - 416",4
"EtOH - 425",4
"EtOH - 430",4
"EtOH - 44|C&S - 2",4
"EtOH - 444",4
"EtOH - 450",4
"EtOH - 451",4
"EtOH - 453",4
"EtOH - 463",4
"EtOH - 47|C&S - 5",4
"EtOH - 480",4
"EtOH - 49|C&S - 2",4
"EtOH - 496",4
"EtOH - 5|skeleton - 3",4
"EtOH - 505",4
"EtOH - 506",4
"EtOH - 508",4
"EtOH - 509",4
"EtOH - 51|C&S - 2",4
"EtOH - 514",4
"EtOH - 519",4
"EtOH - 52|C&S - 1",4
"EtOH - 52|C&S - 2",4
"EtOH - 535",4
"EtOH - 54|C&S - 2",4
"EtOH - 561",4
"EtOH - 566",4
"EtOH - 57|C&S - 2",4
"EtOH - 580",4
"EtOH - 59|C&S - 2",4
"EtOH - 60|C&S - 2",4
"EtOH - 60|C&S - 3",4
"EtOH - 625",4
"EtOH - 630",4
"EtOH - 653",4
"EtOH - 661",4
"EtOH - 737",4
"EtOH - 74|C&S - 1",4
"EtOH - 88|C&S - 2",4
"skeleton - 1|C&S - 1",4
"skeleton - 14",4
"skeleton - 2|C&S - 2",4
"skeleton - 23",4
"EtOH - 1|skeleton - 5",3
"EtOH - 102|C&S - 2",3
"EtOH - 105|C&S - 2",3
"EtOH - 109|C&S - 1",3
"EtOH - 11|skeleton - 3",3
"EtOH - 1128",3
"EtOH - 117|C&S - 3",3
"EtOH - 121|C&S - 3",3
"EtOH - 15|skeleton - 2",3
"EtOH - 16|C&S - 5",3
"EtOH - 163|C&S - 5",3
"EtOH - 17|C&S - 4",3
"EtOH - 18|C&S - 3",3
"EtOH - 189|C&S - 3",3
"EtOH - 20|skeleton - 10",3
"EtOH - 21|skeleton - 1",3
"EtOH - 23|C&S - 4",3
"EtOH - 24|C&S - 3",3
"EtOH - 24|C&S - 6",3
"EtOH - 25|C&S - 1",3
"EtOH - 26|C&S - 4",3
"EtOH - 26|C&S - 6",3
"EtOH - 268",3
"EtOH - 27|skeleton - 2",3
"EtOH - 27|skeleton - 4",3
"EtOH - 28|C&S - 1",3
"EtOH - 29|C&S - 3",3
"EtOH - 298",3
"EtOH - 3|skeleton - 3",3
"EtOH - 3|skeleton - 4",3
"EtOH - 30|C&S - 5",3
"EtOH - 31|C&S - 4",3
"EtOH - 31|C&S - 5",3
"EtOH - 311",3
"EtOH - 315",3
"EtOH - 32|C&S - 1",3
"EtOH - 33|skeleton - 1",3
"EtOH - 34|C&S - 3",3
"EtOH - 34|C&S - 5",3
"EtOH - 347",3
"EtOH - 35|C&S - 4",3
"EtOH - 35|C&S - 5",3
"EtOH - 35|skeleton - 1",3
"EtOH - 354",3
"EtOH - 36|C&S - 1",3
"EtOH - 36|C&S - 4",3
"EtOH - 364",3
"EtOH - 367",3
"EtOH - 368",3
"EtOH - 37|C&S - 1",3
"EtOH - 37|C&S - 4",3
"EtOH - 372",3
"EtOH - 373",3
"EtOH - 374",3
"EtOH - 38|C&S - 2",3
"EtOH - 38|C&S - 3",3
"EtOH - 38|C&S - 5",3
"EtOH - 388",3
"EtOH - 39|C&S - 6",3
"EtOH - 39|skeleton - 2",3
"EtOH - 391",3
"EtOH - 394",3
"EtOH - 400",3
"EtOH - 401",3
"EtOH - 407",3
"EtOH - 41|C&S - 2",3
"EtOH - 41|C&S - 4",3
"EtOH - 410",3
"EtOH - 419",3
"EtOH - 42|C&S - 2",3
"EtOH - 42|C&S - 4",3
"EtOH - 429",3
"EtOH - 43|C&S - 2",3
"EtOH - 43|C&S - 5",3
"EtOH - 433",3
"EtOH - 435",3
"EtOH - 44|skeleton - 1",3
"EtOH - 446",3
"EtOH - 449",3
"EtOH - 45|skeleton - 1",3
"EtOH - 457",3
"EtOH - 458",3
"EtOH - 46|C&S - 2",3
"EtOH - 46|C&S - 3",3
"EtOH - 46|C&S - 5",3
"EtOH - 46|skeleton - 1",3
"EtOH - 468",3
"EtOH - 469",3
"EtOH - 47|C&S - 2",3
"EtOH - 47|C&S - 3",3
"EtOH - 472",3
"EtOH - 475",3
"EtOH - 476",3
"EtOH - 477",3
"EtOH - 48|C&S - 2",3
"EtOH - 481",3
"EtOH - 490",3
"EtOH - 495",3
"EtOH - 497",3
"EtOH - 5|C&S - 4",3
"EtOH - 515",3
"EtOH - 518",3
"EtOH - 52|C&S - 4",3
"EtOH - 526",3
"EtOH - 529",3
"EtOH - 536",3
"EtOH - 537",3
"EtOH - 538",3
"EtOH - 54|C&S - 1",3
"EtOH - 54|C&S - 6",3
"EtOH - 57|C&S - 10",3
"EtOH - 59|C&S - 5",3
"EtOH - 590",3
"EtOH - 6|C&S - 3",3
"EtOH - 6|skeleton - 4",3
"EtOH - 60|C&S - 1",3
"EtOH - 61|C&S - 2",3
"EtOH - 613",3
"EtOH - 62|C&S - 3",3
"EtOH - 64|C&S - 3",3
"EtOH - 64|C&S - 5",3
"EtOH - 646",3
"EtOH - 65|C&S - 2",3
"EtOH - 65|C&S - 5",3
"EtOH - 66|C&S - 3",3
"EtOH - 667",3
"EtOH - 691",3
"EtOH - 7|skeleton - 3",3
"EtOH - 7|skeleton - 4",3
"EtOH - 70|C&S - 5",3
"EtOH - 709",3
"EtOH - 723",3
"EtOH - 75|C&S - 2",3
"EtOH - 75|C&S - 3",3
"EtOH - 8|skeleton - 6",3
"EtOH - 822",3
"EtOH - 858",3
"EtOH - 87|C&S - 5",3
"EtOH - 9|C&S - 3",3
"EtOH - 9|skeleton - 2",3
"EtOH - 9|skeleton - 4",3
"EtOH - 92|C&S - 3",3
"EtOH - 97|C&S - 3",3
"skeleton - 18",3
"skeleton - 99",3
"",2
"C&S - 1|skeleton - 1|EtOH - 3",2
"C&S - 1|skeleton - 1|EtOH - 6",2
"C&S - 13",2
"C&S - 16",2
"C&S - 7",2
"EtOH - 1|C&S - 3",2
"EtOH - 10|C&S - 4",2
"EtOH - 10|C&S - 5",2
"EtOH - 10|skeleton - 3",2
"EtOH - 100|C&S - 4",2
"EtOH - 1000",2
"EtOH - 1010",2
"EtOH - 102|C&S - 3",2
"EtOH - 103|C&S - 2",2
"EtOH - 104|C&S - 7",2
"EtOH - 1040",2
"EtOH - 106|C&S - 3",2
"EtOH - 106|C&S - 4",2
"EtOH - 107|C&S - 6",2
"EtOH - 108|C&S - 3",2
"EtOH - 11|C&S - 5",2
"EtOH - 11|skeleton - 10",2
"EtOH - 110|C&S - 2",2
"EtOH - 113|C&S - 2",2
"EtOH - 116|C&S - 1",2
"EtOH - 116|C&S - 3",2
"EtOH - 116|C&S - 5",2
"EtOH - 118|C&S - 3",2
"EtOH - 118|C&S - 4",2
"EtOH - 12|C&S - 4",2
"EtOH - 12|skeleton - 2",2
"EtOH - 120|C&S - 3",2
"EtOH - 121|C&S - 1",2
"EtOH - 125|C&S - 4",2
"EtOH - 128|C&S - 1",2
"EtOH - 128|C&S - 4",2
"EtOH - 13|C&S - 4",2
"EtOH - 13|C&S - 5",2
"EtOH - 13|skeleton - 2",2
"EtOH - 134|C&S - 10",2
"EtOH - 136|C&S - 3",2
"EtOH - 14|skeleton - 3",2
"EtOH - 142|C&S - 6",2
"EtOH - 144|C&S - 6",2
"EtOH - 1499",2
"EtOH - 15|C&S - 5",2
"EtOH - 152|C&S - 3",2
"EtOH - 161|C&S - 5",2
"EtOH - 165|C&S - 3",2
"EtOH - 17|C&S - 5",2
"EtOH - 17|C&S - 6",2
"EtOH - 17|skeleton - 3",2
"EtOH - 18|C&S - 4",2
"EtOH - 18|skeleton - 5",2
"EtOH - 188|C&S - 1",2
"EtOH - 189|C&S - 11",2
"EtOH - 189|C&S - 6",2
"EtOH - 189|skeleton - 1",2
"EtOH - 19|C&S - 4",2
"EtOH - 19|C&S - 5",2
"EtOH - 19|C&S - 6",2
"EtOH - 19|skeleton - 3",2
"EtOH - 2|C&S - 5",2
"EtOH - 2|skeleton - 5",2
"EtOH - 2|skeleton - 6",2
"EtOH - 21|C&S - 7",2
"EtOH - 21|skeleton - 25",2
"EtOH - 21|skeleton - 4",2
"EtOH - 213|C&S - 5",2
"EtOH - 22|C&S - 6",2
"EtOH - 22|skeleton - 3",2
"EtOH - 220|C&S - 5",2
"EtOH - 23|C&S - 5",2
"EtOH - 23|C&S - 6",2
"EtOH - 24|C&S - 5",2
"EtOH - 25|skeleton - 1",2
"EtOH - 26|C&S - 2",2
"EtOH - 27|C&S - 2",2
"EtOH - 27|C&S - 6",2
"EtOH - 27|skeleton - 1",2
"EtOH - 28|C&S - 4",2
"EtOH - 28|skeleton - 1",2
"EtOH - 296|C&S - 4",2
"EtOH - 3|skeleton - 5",2
"EtOH - 3|special preparation - 1",2
"EtOH - 30|C&S - 10",2
"EtOH - 30|C&S - 2",2
"EtOH - 30|C&S - 4",2
"EtOH - 302",2
"EtOH - 305",2
"EtOH - 31|skeleton - 1",2
"EtOH - 31|skeleton - 3",2
"EtOH - 310|C&S - 4",2
"EtOH - 32|C&S - 3",2
"EtOH - 32|skeleton - 4",2
"EtOH - 33|C&S - 1",2
"EtOH - 33|C&S - 5",2
"EtOH - 331",2
"EtOH - 35|C&S - 2",2
"EtOH - 352",2
"EtOH - 366",2
"EtOH - 37|C&S - 3",2
"EtOH - 375",2
"EtOH - 376",2
"EtOH - 377",2
"EtOH - 378",2
"EtOH - 38|C&S - 4",2
"EtOH - 380",2
"EtOH - 382",2
"EtOH - 39|C&S - 1",2
"EtOH - 396",2
"EtOH - 397",2
"EtOH - 4|skeleton - 4",2
"EtOH - 40|C&S - 3",2
"EtOH - 40|C&S - 5",2
"EtOH - 40|C&S - 6",2
"EtOH - 405",2
"EtOH - 408",2
"EtOH - 41|C&S - 1",2
"EtOH - 418",2
"EtOH - 42|C&S - 3",2
"EtOH - 42|C&S - 8",2
"EtOH - 420",2
"EtOH - 422",2
"EtOH - 424",2
"EtOH - 426",2
"EtOH - 427",2
"EtOH - 428",2
"EtOH - 43|C&S - 1",2
"EtOH - 431",2
"EtOH - 437",2
"EtOH - 439",2
"EtOH - 440",2
"EtOH - 443",2
"EtOH - 448",2
"EtOH - 45|C&S - 1",2
"EtOH - 45|C&S - 3",2
"EtOH - 45|C&S - 6",2
"EtOH - 455",2
"EtOH - 459",2
"EtOH - 460",2
"EtOH - 462",2
"EtOH - 464",2
"EtOH - 47|C&S - 1",2
"EtOH - 47|C&S - 8",2
"EtOH - 48|C&S - 3",2
"EtOH - 482",2
"EtOH - 483",2
"EtOH - 484",2
"EtOH - 485",2
"EtOH - 49|C&S - 1",2
"EtOH - 491",2
"EtOH - 492",2
"EtOH - 5|C&S - 5",2
"EtOH - 503",2
"EtOH - 51|C&S - 1",2
"EtOH - 51|C&S - 3",2
"EtOH - 513",2
"EtOH - 513|C&S - 3",2
"EtOH - 52|C&S - 3",2
"EtOH - 521",2
"EtOH - 53|C&S - 4",2
"EtOH - 532",2
"EtOH - 533",2
"EtOH - 534",2
"EtOH - 54|C&S - 3",2
"EtOH - 54|C&S - 5",2
"EtOH - 54|C&S - 8",2
"EtOH - 543",2
"EtOH - 544",2
"EtOH - 545",2
"EtOH - 546",2
"EtOH - 549",2
"EtOH - 55|C&S - 2",2
"EtOH - 550",2
"EtOH - 553",2
"EtOH - 557|C&S - 10",2
"EtOH - 56|C&S - 4",2
"EtOH - 567",2
"EtOH - 568",2
"EtOH - 57|C&S - 3",2
"EtOH - 570",2
"EtOH - 576",2
"EtOH - 577",2
"EtOH - 578",2
"EtOH - 58|C&S - 3",2
"EtOH - 586",2
"EtOH - 588",2
"EtOH - 589",2
"EtOH - 59|C&S - 1",2
"EtOH - 592",2
"EtOH - 6|skeleton - 3",2
"EtOH - 603",2
"EtOH - 61|C&S - 1",2
"EtOH - 615",2
"EtOH - 616",2
"EtOH - 617",2
"EtOH - 62|C&S - 2",2
"EtOH - 620",2
"EtOH - 623",2
"EtOH - 624",2
"EtOH - 628",2
"EtOH - 63|C&S - 2",2
"EtOH - 63|C&S - 4",2
"EtOH - 63|C&S - 5",2
"EtOH - 637",2
"EtOH - 647",2
"EtOH - 65|C&S - 3",2
"EtOH - 650",2
"EtOH - 651",2
"EtOH - 656",2
"EtOH - 66|C&S - 4",2
"EtOH - 665",2
"EtOH - 673",2
