"dwc.preparations","freq"
"whole organism (isopropanol) - 226",4
"whole organism (isopropanol) - 231",4
"whole organism (isopropanol) - 237",4
"whole organism (isopropanol) - 239",4
"whole organism (isopropanol) - 240",4
"whole organism (isopropanol) - 264",4
"whole organism (isopropanol) - 267",4
"whole organism (isopropanol) - 275",4
"whole organism (isopropanol) - 278",4
"whole organism (isopropanol) - 292",4
"whole organism (isopropanol) - 297",4
"whole organism (isopropanol) - 324",4
"whole organism (isopropanol) - 350",4
"whole organism (isopropanol) - 377",4
"whole organism (isopropanol) - 5; photograph - 1; photograph - 1",4
"body parts (formalin) - 13",3
"EOD Recording - 1; 35 mm slide - 1; whole organism (ethanol) - 1",3
"EOD Recording - 1; whole organism (ethanol) - 2",3
"EOD Recording - 1; whole organism (ethanol) - 3",3
"EOD Recording - 1; whole organism (ethanol) - 5",3
"EOD Recording - 1; whole organism (isopropanol) - 1",3
"EOD Recording - 3; whole organism (ethanol) - 3",3
"Gift Specimen(s) - 1; tissue (95% ethanol) - 10; whole organism (ethanol) - 1",3
"Gift Specimen(s) - 1; whole organism (ethanol) - 1; tissue (95% ethanol) - 10",3
"scale (dry) - 1",3
"skeleton (dry) - 1; whole organism (isopropanol) - 1",3
"tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",3
"tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 5; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",3
"tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 4",3
"tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 5",3
"tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 6; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",3
"tissue (95% ethanol) - 1; tissue (95% ethanol) - 1; whole organism (ethanol) - 8",3
"tissue (95% ethanol) - 1; whole organism (ethanol) - 4; tissue (95% ethanol) - 1; tissue (95% ethanol) - 1",3
"tissue (95% ethanol) - 1; whole organism (ethanol) - 7; tissue (95% ethanol) - 1",3
